document,Technology & AI Trends,Companies & Economy,Politics & Government
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",0.2434396,0.11445415,0.64210624
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,0.31554374,0.1714502,0.51300603
Which_countries_have_banned_DeepSeek_and_why?,0.62365335,0.13101092,0.24533574
Global_AI_rivalry_is_a_dangerous_game,0.26788095,0.37266442,0.35945466
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,0.16365136,0.19321302,0.6431356
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,0.48608693,0.12906604,0.38484707
They_Invested_Billions._Then_the_A.I._Script_Got_F,0.19629106,0.1589704,0.64473855
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",0.32722414,0.20960166,0.46317425
DeepSeek_banned_from_Australian_government_devices,0.67998135,0.21359447,0.10642423
DeepSeek_AI_shakes_American_swagger_and_upends_ass,0.20505695,0.27687007,0.51807296
What_Is_AI_Distillation?,0.22701253,0.30590993,0.46707752
What_questions_will_China's_DeepSeek_not_answer?_–,0.20803456,0.70215434,0.08981111
"India_AI:_As_DeepSeek_and_ChatGPT_surge,_is_Delhi_",0.17658572,0.37754482,0.44586948
China’s_AI_disrupter_DeepSeek_bets_on_low-key_team,0.18413873,0.22523727,0.590624
Australia_bans_DeepSeek_on_government_devices_over,0.5852785,0.17415394,0.24056762
The_story_behind_DeepSeek’s_breakthrough,0.19796562,0.27158836,0.530446
"Microsoft,_OpenAI_investigate_China’s_DeepSeek_ove",0.42908078,0.18370163,0.38721758
South_Korea_bans_new_downloads_of_China's_DeepSeek,0.61282825,0.13205722,0.2551145
US_lawmakers_propose_bill_to_ban_DeepSeek_from_gov,0.5780293,0.10767918,0.31429157
What_will_Washington_do_about_Chinese_startup_Deep,0.5034535,0.1769834,0.31956315
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,0.36639965,0.37848583,0.2551145
A_shocking_Chinese_AI_advancement_called_DeepSeek_,0.20922728,0.12557319,0.6651995
Chinese_AI_start-up_DeepSeek_breaks_for_Lunar_New_,0.30403745,0.18666945,0.5092931
China’s_DeepSeek_faces_questions_over_claims_after,0.27921838,0.20869145,0.5120902
Is_DeepSeek_China’s_Sputnik_Moment?,0.24556355,0.27429217,0.4801443
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",0.19514403,0.26455274,0.54030323
The_Chinese_AI_companies_that_could_match_DeepSeek,0.28718546,0.27042964,0.44238493
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,0.21341862,0.1728415,0.6137399
Was_this_the_week_DeepSeek_started_the_slow_unwind,0.34849703,0.22191107,0.42959192
"As_DeepSeek_upends_the_AI_industry,_one_group_is_u",0.46713504,0.17949867,0.3533663
Meet_DeepSeek:_the_Chinese_start-up_that_is_changi,0.16867875,0.12381112,0.7075101
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,0.37460348,0.18078388,0.44461265
DeepSeek_'shared_user_data'_with_TikTok_owner_Byte,0.56828773,0.17060293,0.26110932
Tech_war_in_2024:_China_catches_up_fast_in_AI_race,0.38165095,0.20692872,0.4114203
OpenAI_‘reviewing’_allegations_that_its_AI_models_,0.59853804,0.079679556,0.32178247
DeepSeek_is_decoding_Chinese_destiny,0.18008369,0.6016787,0.21823765
DeepSeek_vs_ChatGPT_-_how_do_they_compare?,0.31737074,0.36472455,0.3179047
"How_ChatGPT,_Gemini_and_DeepSeek_deal_with_Tiananm",0.34260616,0.33684096,0.32055295
Why_DeepSeek_could_mark_a_turning_point_for_Silico,0.18470033,0.18259549,0.6327042
Why_DeepSeek_Could_Change_What_Silicon_Valley_Beli,0.13883974,0.15836647,0.7027938
DeepSeek’s_Chatbot_Has_an_Important_Message,0.23291534,0.16440132,0.60268337
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",0.43878,0.08239049,0.4788295
What_is_DeepSeek_and_why_did_US_tech_stocks_fall?,0.2423685,0.17121947,0.586412
"Oh,_I’m_sorry,_tech_bros_–_did_DeepSeek_copy_your_",0.27531368,0.33655608,0.38813025
China_celebrates_DeepSeek’s_breakout_AI_success_as,0.21997103,0.24737214,0.53265685
"DeepSeek_breakthrough,_Nvidia_stock_rout_raise_con",0.3084466,0.12845127,0.5631021
‘Sputnik_moment’:_$1tn_wiped_off_US_stocks_after_C,0.38536754,0.11655665,0.4980758
DeepSeek:_What_lies_under_the_bonnet_of_the_new_AI,0.2364792,0.09781333,0.66570747
Who_is_behind_DeepSeek_and_how_did_it_achieve_its_,0.3761933,0.18364236,0.44016433
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,0.22373597,0.17762671,0.5986373
'DeepSeek_brought_me_to_tears':_How_young_Chinese_,0.31109983,0.49570137,0.19319879
Nvidia_beats_Wall_Street_expectations_in_first_ear,0.31752583,0.20128445,0.48118973
Chinese_start-up_DeepSeek_launches_AI_model_that_o,0.13470583,0.13339284,0.7319013
US_House_panel_probes_whether_DeepSeek_used_restricted_Nvidia_chips,0.41947806,0.17287104,0.40765092
DeepSeek:_How_China's_'AI_heroes'_overcame_US_curb,0.20907715,0.34026715,0.45065573
"DeepSeek,_ChatGPT,_Grok_…_which_is_the_best_AI_ass",0.39807636,0.36854106,0.23338258
DeepSeek_focuses_on_research_over_revenue_in_contrast_to_Silicon_Valley,0.30995867,0.24157414,0.44846722
First_Impressions_of_DeepSeek’s_A.I._Chatbot,0.43697628,0.2270294,0.33599433
Analysis:_DeepSeek’s_AI_is_giving_the_world_a_wind,0.42850593,0.31346104,0.25803304
How_Did_DeepSeek_Build_Its_A.I._With_Less_Money?,0.102252565,0.11149505,0.78625244
DeepSeek_hasn’t_just_disrupted_OpenAI._Chinese_tec,0.30704805,0.22799677,0.4649552
World_leaders_set_to_vie_for_AI_domination_at_Pari,0.3413295,0.31890202,0.33976853
White_House_evaluates_effect_of_China_AI_app_DeepS,0.46124288,0.10885684,0.42990026
OpenAI_says_Chinese_rivals_using_its_work_for_thei,0.48115543,0.18653539,0.3323092
DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th,0.2512861,0.3128892,0.43582475
"DeepSeek_Doesn’t_Scare_OpenAI,_Thanks_to_the_‘Jevo",0.17636544,0.22516884,0.59846574
Here’s_what_the_sellside_is_saying_about_DeepSeek,0.17715341,0.3024811,0.5203654
The_DeepSeek_Wake-Up_Call,0.30665675,0.17185466,0.5214886
Trump’s_commerce_secretary_pick_vows_to_keep_China,0.39197108,0.21382104,0.3942078
How_do_you_solve_a_problem_like_DeepSeek?,0.34167132,0.3746847,0.283644
"Inside_China,_DeepSeek_Provides_a_National_Mic_Dro",0.32401884,0.15140344,0.52457774
"DeepSeek_advances_could_heighten_safety_risk,_says",0.44435927,0.2649906,0.29065013
UK_will_not_be_able_to_resist_China's_tech_dominan,0.25213054,0.38935867,0.35851085
"What’s_DeepSeek,_China’s_AI_startup_sending_shockw",0.29951534,0.15631202,0.54417264
DeepSeek_blocked_from_some_app_stores_in_Italy_ami,0.7435349,0.085849635,0.1706155
Nvidia_says_AI_chip_sales_strong_despite_DeepSeek_,0.29151458,0.16043995,0.54804546
DeepSeek_spreads_across_China_with_Beijing’s_backi,0.24995048,0.41403362,0.3360159
The_DeepSeek_panic_reveals_an_AI_world_ready_to_bl,0.28470594,0.23354058,0.4817535
Tech_billionaires_lost_almost_$100bn_in_stock_mark,0.39071813,0.20700195,0.4022799
China’s_DeepSeek_Surprise,0.2974999,0.19754463,0.5049555
DeepSeek_chaos_suggests_‘America_First’_may_not_al,0.4114014,0.19645853,0.3921401
DeepSeek:_Cheap_AI_model_shakes_up_tech_industry_–,0.36244008,0.14565499,0.49190497
My_Take_|_Chinese_start-up_DeepSeek_looks_set_to_r,0.19758378,0.091944166,0.71047205
DeepSeek_hit_with_‘large-scale’_cyber-attack_after,0.5569013,0.12788996,0.31520882
Experts_urge_caution_over_use_of_Chinese_AI_DeepSe,0.49627957,0.2739571,0.22976337
DeepSeek:_South_Korea_temporarily_bans_AI_app_–_DW,0.6662573,0.13631356,0.19742908
Tech_war:_China_poised_to_expand_AI_infrastructure,0.2581168,0.19072902,0.55115414
DeepSeek_Is_a_Win_for_China_in_the_A.I._Race._Will,0.24014142,0.24644966,0.5134089
"DeepSeek’s_Answers_Include_Chinese_Propaganda,_Res",0.26474085,0.39974186,0.3355173
"DeepSeek's_popularity_should_be_a_wake-up_call,_Tr",0.34924674,0.18795376,0.46279952
Why_is_China's_DeepSeek_sending_AI_stocks_spinning,0.2411098,0.25091293,0.5079773
Nvidia_shares_sink_as_Chinese_AI_app_DeepSeek_spoo,0.3358645,0.18845253,0.47568297
DeepSeek_Serves_as_a_Warning_About_Big_Tech_-_The_,0.30520248,0.22033408,0.4744634
What_DeepSeek?_Big_Tech_Keeps_Its_A.I._Building_Bo,0.26735222,0.15799251,0.57465523
"The_real_hype_behind_DeepSeek,_according_to_AI_exp",0.30946073,0.2138824,0.47665688
China_Challenges_Silicon_Valley_for_A.I._Dominance,0.1337042,0.18916279,0.677133
What_does_DeepSeek_mean_for_AI's_environmental_imp,0.103950195,0.46524206,0.43080777
Who_Is_the_Founder_of_the_A.I._Start-Up_DeepSeek?,0.22759573,0.26315933,0.5092449
and_why_is_everyone_talking_about_it?,0.3020842,0.2640221,0.4338937
Watch_DeepSeek_AI_bot_respond_to_question_about_Ch,0.43461704,0.14887558,0.41650742
DeepSeek_shows_China_only_6_months_behind_US_in_st,0.27379018,0.17672679,0.549483
DeepSeek_shows_AI's_centre_of_power_could_shift_aw,0.25760677,0.24119984,0.5011934
China’s_DeepSeek_causes_rout_among_AI-linked_stock,0.31776774,0.17799982,0.50423247
Is_Artificial_Intelligence_Really_Worth_the_Hype?,0.17097543,0.3275017,0.50152284
What_to_Know_About_DeepSeek_and_How_It_Is_Upending,0.1651992,0.24621522,0.5885856
South_Korea_removes_DeepSeek_from_app_stores_pendi,0.57491034,0.10536483,0.31972483
What_DeepSeek’s_Success_Says_About_China’s_Ability,0.15062477,0.40253007,0.44684514
"DeepSeek_transferred_data_without_consent,_South_K",0.5247877,0.054859053,0.42035323
"We_tried_out_DeepSeek._It_worked_well,_until_we_as",0.3016815,0.6010457,0.09727282
US_tech_stocks_plunge_on_China_AI’s_unexpectedly_s,0.39211422,0.119723104,0.48816267
US_tech_stocks_partly_recover_after_Trump_says_Dee,0.47237527,0.09015016,0.43747458
Diving_into_DeepSeek:_inside_the_7_February_Guardi,0.38652346,0.29928118,0.3141954
Hong_Kong_stocks_gain_on_valuation_focus_as_DeepSe,0.5116801,0.10730223,0.38101763
Nvidia_and_Microsoft_shares_steady_after_DeepSeek_,0.3262299,0.21074316,0.46302697
"Be_careful_with_DeepSeek,_Australia_says_-_so_is_i",0.57720125,0.19130434,0.23149438
